mrid,cause,communitydescriptor,customersrestored,metersaffected,reportedstarttime,statuskind,utilitydisclaimer,incident,outagearea,names,estimatedrestorationtime,causekind,incident_cause,incident_location,incident_location_kind,outagearea_outageareakind,name,state,geom_type,geom_geometry_coordinates,geom_geometry_type,centroid_lon,centroid_lat
,,42003,,1,2025-03-14T19:40:00+00:00,,,"{""Location"": {""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}}","{""earliestReportedTime"": ""2025-03-14T19:40:00Z"", ""outageAreaKind"": ""county""}","[{""name"": ""DUQUESNE LIGHT CO"", ""nameType"": ""UtilityName"", ""nameTypeAuthority"": ""EIA""}, {""name"": ""5487"", ""nameType"": ""UtilityId"", ""nameTypeAuthority"": ""EIA""}]",,,,"{""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}",electricalNetwork,county,"DUQUESNE LIGHT CO,5487",Pennsylvania,Feature,"[[[[-79.871425, 40.197390999], [-79.871696, 40.197300999], [-79.87251, 40.197264999], [-79.874857, 40.197220999], [-79.877877, 40.197033999], [-79.881115, 40.196646999], [-79.885599, 40.195376999], [-79.871425, 40.197390999]]]]",MultiPolygon,-79.981217113,40.4687889
be691428-8fb6-4fec-8115-f5d99568c6fe,,37017,,1,,,,"{""Location"": {""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}}","{""outageAreaKind"": ""county""}","[{""name"": ""FOUR COUNTY ELEC MEMBER CORP"", ""nameType"": ""UtilityName"", ""nameTypeAuthority"": ""EIA""}, {""name"": ""6640"", ""nameType"": ""UtilityId"", ""nameTypeAuthority"": ""EIA""}]",,,,"{""kind"": ""electricalNetwork"", ""CoordinateSystem"": {""crsUrn"": ""EPSG:4326""}}",electricalNetwork,county,"FOUR COUNTY ELEC MEMBER CORP,6640",North Carolina,Feature,"[[[[-78.494705, 34.856181999], [-78.495151, 34.855680999], [-78.495243, 34.855188999], [-78.495445, 34.854978999], [-78.496074, 34.855048999], [-78.514572, 34.847037999], [-78.513009, 34.848170999], [-78.512017, 34.848922999], [-78.507848, 34.851484999], [-78.506288, 34.852572999], [-78.494705, 34.856181999]]]]",MultiPolygon,-78.563700002,34.614632942
